sample	strain	sex	diet
A129_1	A129	M	HC_LF
A129_10	A129	F	HF_LC
A129_11	A129	M	HC_LF
A129_12	A129	M	HF_LC
A129_13	A129	M	HC_LF
A129_14	A129	M	HF_LC
A129_15	A129	M	HC_LF
A129_16	A129	F	HC_LF
A129_17	A129	F	HF_LC
A129_18	A129	F	HC_LF
A129_19	A129	M	HF_LC
A129_2	A129	M	HF_LC
A129_20	A129	F	HF_LC
A129_21	A129	M	HC_LF
A129_22	A129	M	HF_LC
A129_23	A129	M	HC_LF
A129_24	A129	M	HF_LC
A129_25	A129	F	HC_LF
A129_3	A129	F	HC_LF
A129_4	A129	F	HF_LC
A129_6	A129	F	HF_LC
A129_7	A129	F	HC_LF
A129_8	A129	F	HF_LC
A129_9	A129	F	HC_LF
AJ_1	AJ	F	HC_LF
AJ_10	AJ	F	HC_LF
AJ_11	AJ	M	HF_LC
AJ_12	AJ	M	HC_LF
AJ_13	AJ	M	HF_LC
AJ_14	AJ	M	HC_LF
AJ_15	AJ	F	HF_LC
AJ_16	AJ	F	HC_LF
AJ_17	AJ	F	HF_LC
AJ_18	AJ	M	HF_LC
AJ_19	AJ	M	HC_LF
AJ_2	AJ	F	HF_LC
AJ_20	AJ	F	HC_LF
AJ_21	AJ	F	HF_LC
AJ_22	AJ	M	HF_LC
AJ_23	AJ	M	HC_LF
AJ_25	AJ	M	HF_LC
AJ_3	AJ	F	HC_LF
AJ_4	AJ	F	HF_LC
AJ_5	AJ	F	HC_LF
AJ_6	AJ	F	HF_LC
AJ_7	AJ	M	HC_LF
AJ_8	AJ	M	HF_LC
AJ_9	AJ	M	HC_LF
B6_1	B6	M	HC_LF
B6_10	B6	F	HF_LC
B6_11	B6	M	HC_LF
B6_12	B6	F	HC_LF
B6_13	B6	F	HF_LC
B6_14	B6	M	HF_LC
B6_16	B6	M	HF_LC
B6_17	B6	M	HC_LF
B6_18	B6	M	HF_LC
B6_19	B6	M	HC_LF
B6_2	B6	M	HC_LF
B6_20	B6	F	HC_LF
B6_21	B6	F	HF_LC
B6_22	B6	F	HC_LF
B6_23	B6	M	HC_LF
B6_24	B6	M	HF_LC
B6_25	B6	F	HF_LC
B6_3	B6	F	HC_LF
B6_4	B6	F	HF_LC
B6_5	B6	F	HC_LF
B6_6	B6	F	HF_LC
B6_7	B6	M	HF_LC
B6_8	B6	M	HF_LC
B6_9	B6	F	HC_LF
CAST_1	CAST	F	HC_LF
CAST_10	CAST	F	HF_LC
CAST_11	CAST	F	HC_LF
CAST_13	CAST	M	HC_LF
CAST_14	CAST	M	HF_LC
CAST_15	CAST	M	HC_LF
CAST_16	CAST	M	HF_LC
CAST_17	CAST	M	HC_LF
CAST_18	CAST	M	HF_LC
CAST_19	CAST	M	HC_LF
CAST_2	CAST	F	HF_LC
CAST_20	CAST	M	HF_LC
CAST_22	CAST	M	HF_LC
CAST_23	CAST	M	HC_LF
CAST_24	CAST	M	HF_LC
CAST_25	CAST	F	HF_LC
CAST_26	CAST	F	HF_LC
